Net Asset Value,NAV date,Fund Name
37.73,2024-05-21,Bank of India Mid Small Cap Fund
31.9401,2024-05-21,ICICI Prudential Bharat 22 FOF
89.5067,2024-05-21,Nippon India Large Cap Fund
33.208,2024-05-21,HSBC Equity Savings Fund
35.7308,2024-05-21,SBI PSU Fund
194.905,2024-05-21,HDFC Focused 30 Fund
25.9701,2024-05-21,Kotak Equity Savings Fund
25.9885,2024-05-22,Kotak Equity Savings Fund
195.055,2024-05-22,HDFC Focused 30 Fund
89.864,2024-05-22,Nippon India Large Cap Fund
37.65,2024-05-22,Bank of India Mid Small Cap Fund
33.2115,2024-05-22,HSBC Equity Savings Fund
35.565,2024-05-22,SBI PSU Fund
32.0628,2024-05-22,ICICI Prudential Bharat 22 FOF
35.7907,2024-05-23,SBI PSU Fund
37.64,2024-05-23,Bank of India Mid Small Cap Fund
197.425,2024-05-23,HDFC Focused 30 Fund
33.2474,2024-05-23,HSBC Equity Savings Fund
90.9572,2024-05-23,Nippon India Large Cap Fund
26.0735,2024-05-23,Kotak Equity Savings Fund
90.914,2024-05-24,Nippon India Large Cap Fund
35.8133,2024-05-24,SBI PSU Fund
32.5129,2024-05-24,ICICI Prudential Bharat 22 FOF
197.794,2024-05-24,HDFC Focused 30 Fund
26.0922,2024-05-24,Kotak Equity Savings Fund
37.72,2024-05-24,Bank of India Mid Small Cap Fund
33.2543,2024-05-24,HSBC Equity Savings Fund
198.093,2024-05-27,HDFC Focused 30 Fund
33.2383,2024-05-27,HSBC Equity Savings Fund
90.7877,2024-05-27,Nippon India Large Cap Fund
37.68,2024-05-27,Bank of India Mid Small Cap Fund
35.8375,2024-05-27,SBI PSU Fund
32.4865,2024-05-27,ICICI Prudential Bharat 22 FOF
26.1003,2024-05-27,Kotak Equity Savings Fund
26.0644,2024-05-28,Kotak Equity Savings Fund
37.49,2024-05-28,Bank of India Mid Small Cap Fund
33.059,2024-05-28,HSBC Equity Savings Fund
35.3321,2024-05-28,SBI PSU Fund
197.744,2024-05-28,HDFC Focused 30 Fund
32.2133,2024-05-28,ICICI Prudential Bharat 22 FOF
