Net Asset Value,NAV date
37.73,21-May-24
37.65,22-May-24
37.64,23-May-24
37.72,24-May-24
37.68,27-May-24
37.49,28-May-24
37.61,29-May-24
37.26,30-May-24
37.66,31-May-24
38.38,03-Jun-24
35.85,04-Jun-24
36.65,05-Jun-24
37.61,06-Jun-24
38.19,07-Jun-24
38.54,10-Jun-24
38.97,11-Jun-24
39.26,12-Jun-24
39.47,13-Jun-24
39.73,14-Jun-24
39.95,18-Jun-24
39.89,19-Jun-24
40.09,20-Jun-24
40.13,21-Jun-24
40.05,24-Jun-24
39.98,25-Jun-24
40.1,26-Jun-24
40.17,27-Jun-24
40.42,28-Jun-24
40.79,01-Jul-24
40.67,02-Jul-24
41.0,03-Jul-24
41.18,04-Jul-24
41.27,05-Jul-24
41.14,08-Jul-24
41.11,09-Jul-24
40.98,10-Jul-24
41.19,11-Jul-24
41.38,12-Jul-24
41.65,15-Jul-24
41.62,16-Jul-24
41.18,18-Jul-24
40.48,19-Jul-24
40.74,22-Jul-24
40.51,23-Jul-24
41.19,24-Jul-24
41.11,25-Jul-24
41.44,26-Jul-24
41.75,29-Jul-24
41.92,30-Jul-24
41.95,31-Jul-24
41.74,01-Aug-24
41.5,02-Aug-24
40.26,05-Aug-24
40.07,06-Aug-24
40.99,07-Aug-24
40.85,08-Aug-24
41.13,09-Aug-24
41.31,12-Aug-24
41.13,13-Aug-24
40.91,14-Aug-24
41.62,16-Aug-24
41.92,19-Aug-24
42.0,20-Aug-24
42.37,21-Aug-24
42.46,22-Aug-24
42.37,23-Aug-24
42.45,26-Aug-24
42.69,27-Aug-24
42.72,28-Aug-24
42.52,29-Aug-24
42.95,30-Aug-24
42.56,02-Sep-24
42.71,03-Sep-24
42.54,04-Sep-24
42.57,05-Sep-24
42.13,06-Sep-24
41.85,09-Sep-24
42.11,10-Sep-24
41.91,11-Sep-24
42.26,12-Sep-24
42.6,13-Sep-24
42.6,16-Sep-24
42.48,17-Sep-24
42.27,18-Sep-24
41.77,19-Sep-24
42.2,20-Sep-24
42.45,23-Sep-24
42.51,24-Sep-24
42.33,25-Sep-24
42.2,26-Sep-24
42.32,27-Sep-24
42.29,30-Sep-24
42.38,01-Oct-24
41.79,03-Oct-24
41.68,04-Oct-24
40.67,07-Oct-24
41.42,08-Oct-24
41.78,09-Oct-24
41.79,10-Oct-24
41.98,11-Oct-24
42.16,14-Oct-24
42.39,15-Oct-24
42.34,16-Oct-24
41.98,17-Oct-24
42.05,18-Oct-24
41.49,21-Oct-24
40.35,22-Oct-24
40.7,23-Oct-24
40.45,24-Oct-24
39.84,25-Oct-24
40.21,28-Oct-24
40.44,29-Oct-24
40.76,30-Oct-24
41.04,31-Oct-24
40.85,04-Nov-24
40.97,05-Nov-24
41.83,06-Nov-24
41.69,07-Nov-24
41.12,08-Nov-24
40.88,11-Nov-24
40.67,12-Nov-24
39.8,13-Nov-24
40.08,14-Nov-24
39.96,18-Nov-24
40.23,19-Nov-24
