Net Asset Value,NAV date
194.905,21-May-24
195.055,22-May-24
197.425,23-May-24
197.794,24-May-24
198.093,27-May-24
197.744,28-May-24
196.428,29-May-24
195.443,30-May-24
195.867,31-May-24
199.984,03-Jun-24
190.71,04-Jun-24
196.838,05-Jun-24
199.167,06-Jun-24
201.375,07-Jun-24
202.435,10-Jun-24
202.48,11-Jun-24
202.971,12-Jun-24
203.619,13-Jun-24
204.252,14-Jun-24
205.475,18-Jun-24
206.028,19-Jun-24
206.788,20-Jun-24
207.065,21-Jun-24
207.482,24-Jun-24
209.285,25-Jun-24
209.271,26-Jun-24
209.568,27-Jun-24
208.725,28-Jun-24
209.94,01-Jul-24
209.285,02-Jul-24
210.729,03-Jul-24
211.598,04-Jul-24
211.224,05-Jul-24
210.789,08-Jul-24
211.876,09-Jul-24
211.383,10-Jul-24
211.447,11-Jul-24
212.283,12-Jul-24
213.108,15-Jul-24
213.213,16-Jul-24
213.694,18-Jul-24
212.075,19-Jul-24
212.202,22-Jul-24
211.801,23-Jul-24
212.489,24-Jul-24
211.652,25-Jul-24
214.317,26-Jul-24
213.997,29-Jul-24
213.933,30-Jul-24
214.685,31-Jul-24
214.7,01-Aug-24
212.74,02-Aug-24
208.039,05-Aug-24
207.36,06-Aug-24
209.603,07-Aug-24
209.206,08-Aug-24
210.2,09-Aug-24
210.662,12-Aug-24
209.201,13-Aug-24
208.846,14-Aug-24
211.797,16-Aug-24
211.699,19-Aug-24
212.696,20-Aug-24
213.615,21-Aug-24
214.153,22-Aug-24
214.05,23-Aug-24
215.347,26-Aug-24
215.902,27-Aug-24
215.94,28-Aug-24
216.133,29-Aug-24
217.87,30-Aug-24
218.094,02-Sep-24
218.769,03-Sep-24
218.985,04-Sep-24
218.917,05-Sep-24
216.946,06-Sep-24
217.303,09-Sep-24
219.278,10-Sep-24
218.843,11-Sep-24
221.631,12-Sep-24
221.346,13-Sep-24
221.429,16-Sep-24
222.524,17-Sep-24
222.279,18-Sep-24
222.354,19-Sep-24
224.975,20-Sep-24
226.943,23-Sep-24
227.224,24-Sep-24
227.953,25-Sep-24
228.875,26-Sep-24
228.235,27-Sep-24
225.232,30-Sep-24
225.396,01-Oct-24
220.95,03-Oct-24
219.653,04-Oct-24
217.106,07-Oct-24
218.708,08-Oct-24
220.439,09-Oct-24
220.985,10-Oct-24
220.743,11-Oct-24
221.555,14-Oct-24
221.632,15-Oct-24
221.199,16-Oct-24
218.146,17-Oct-24
220.131,18-Oct-24
219.673,21-Oct-24
217.1,22-Oct-24
217.104,23-Oct-24
217.689,24-Oct-24
216.72,25-Oct-24
217.34,28-Oct-24
218.487,29-Oct-24
217.245,30-Oct-24
217.205,31-Oct-24
216.006,04-Nov-24
218.407,05-Nov-24
220.19,06-Nov-24
219.274,07-Nov-24
218.666,08-Nov-24
218.438,11-Nov-24
215.714,12-Nov-24
212.711,13-Nov-24
213.337,14-Nov-24
212.964,18-Nov-24
213.464,19-Nov-24
