Net Asset Value,NAV date
33.208,21-May-24
33.2115,22-May-24
33.2474,23-May-24
33.2543,24-May-24
33.2383,27-May-24
33.059,28-May-24
33.0873,29-May-24
32.9526,30-May-24
33.1299,31-May-24
33.5149,03-Jun-24
32.5074,04-Jun-24
32.8973,05-Jun-24
33.2528,06-Jun-24
33.5622,07-Jun-24
33.6668,10-Jun-24
33.8618,11-Jun-24
34.096,12-Jun-24
34.3296,13-Jun-24
34.5801,14-Jun-24
34.6312,18-Jun-24
34.4567,19-Jun-24
34.5708,20-Jun-24
34.5786,21-Jun-24
34.6647,24-Jun-24
34.67,25-Jun-24
34.5822,26-Jun-24
34.4774,27-Jun-24
34.5365,28-Jun-24
34.7509,01-Jul-24
34.853,02-Jul-24
34.9546,03-Jul-24
35.0724,04-Jul-24
35.2508,05-Jul-24
35.2548,08-Jul-24
35.2831,09-Jul-24
35.1499,10-Jul-24
35.2329,11-Jul-24
35.2542,12-Jul-24
35.2083,15-Jul-24
35.1943,16-Jul-24
34.9754,18-Jul-24
34.6356,19-Jul-24
34.7423,22-Jul-24
34.7042,23-Jul-24
35.0099,24-Jul-24
35.0772,25-Jul-24
35.2672,26-Jul-24
35.4553,29-Jul-24
35.5032,30-Jul-24
35.4928,31-Jul-24
35.4067,01-Aug-24
35.308,02-Aug-24
34.7188,05-Aug-24
34.5428,06-Aug-24
34.9652,07-Aug-24
34.9598,08-Aug-24
35.1874,09-Aug-24
35.2203,12-Aug-24
35.1815,13-Aug-24
35.1721,14-Aug-24
35.5021,16-Aug-24
35.624,19-Aug-24
35.6297,20-Aug-24
35.6103,21-Aug-24
35.6812,22-Aug-24
35.7912,23-Aug-24
35.7156,26-Aug-24
35.7113,27-Aug-24
35.7559,28-Aug-24
35.5864,29-Aug-24
35.6884,30-Aug-24
35.5348,02-Sep-24
35.5653,03-Sep-24
35.5133,04-Sep-24
35.5584,05-Sep-24
35.4101,06-Sep-24
35.4051,09-Sep-24
35.5869,10-Sep-24
35.6488,11-Sep-24
35.8643,12-Sep-24
35.9199,13-Sep-24
36.0108,16-Sep-24
35.9664,17-Sep-24
35.9173,18-Sep-24
35.7584,19-Sep-24
36.0819,20-Sep-24
36.338,23-Sep-24
36.3481,24-Sep-24
36.3396,25-Sep-24
36.3052,26-Sep-24
36.3262,27-Sep-24
36.176,30-Sep-24
36.2298,01-Oct-24
35.8907,03-Oct-24
35.8605,04-Oct-24
35.4926,07-Oct-24
36.1055,08-Oct-24
36.3772,09-Oct-24
36.4823,10-Oct-24
36.6545,11-Oct-24
36.7501,14-Oct-24
36.9408,15-Oct-24
36.8887,16-Oct-24
36.6104,17-Oct-24
36.4499,18-Oct-24
36.2562,21-Oct-24
35.8652,22-Oct-24
35.932,23-Oct-24
35.7349,24-Oct-24
35.487,25-Oct-24
35.5355,28-Oct-24
35.6869,29-Oct-24
35.6464,30-Oct-24
35.7634,31-Oct-24
35.8146,04-Nov-24
35.8017,05-Nov-24
36.2218,06-Nov-24
36.1452,07-Nov-24
35.8869,08-Nov-24
35.942,11-Nov-24
35.7536,12-Nov-24
35.2688,13-Nov-24
35.4057,14-Nov-24
35.5262,18-Nov-24
35.8092,19-Nov-24
