Net Asset Value,NAV date
25.9701,21-May-24
25.9885,22-May-24
26.0735,23-May-24
26.0922,24-May-24
26.1003,27-May-24
26.0644,28-May-24
26.0369,29-May-24
25.9987,30-May-24
26.0298,31-May-24
26.3965,03-Jun-24
25.6875,04-Jun-24
26.0204,05-Jun-24
26.1489,06-Jun-24
26.3234,07-Jun-24
26.4311,10-Jun-24
26.4359,11-Jun-24
26.4915,12-Jun-24
26.5421,13-Jun-24
26.6184,14-Jun-24
26.6503,18-Jun-24
26.6112,19-Jun-24
26.5995,20-Jun-24
26.5685,21-Jun-24
26.5742,24-Jun-24
26.6244,25-Jun-24
26.6393,26-Jun-24
26.6696,27-Jun-24
26.6194,28-Jun-24
26.7087,01-Jul-24
26.7179,02-Jul-24
26.8297,03-Jul-24
26.828,04-Jul-24
26.8097,05-Jul-24
26.8081,08-Jul-24
26.8835,09-Jul-24
26.9004,10-Jul-24
26.9357,11-Jul-24
26.9627,12-Jul-24
27.063,15-Jul-24
27.0707,16-Jul-24
27.0686,18-Jul-24
26.9621,19-Jul-24
27.0318,22-Jul-24
27.0023,23-Jul-24
27.0425,24-Jul-24
27.0425,25-Jul-24
27.1935,26-Jul-24
27.196,29-Jul-24
27.2452,30-Jul-24
27.2827,31-Jul-24
27.3017,01-Aug-24
27.2402,02-Aug-24
26.9662,05-Aug-24
26.8766,06-Aug-24
27.0646,07-Aug-24
27.0362,08-Aug-24
27.1626,09-Aug-24
27.1946,12-Aug-24
27.1132,13-Aug-24
27.1105,14-Aug-24
27.2925,16-Aug-24
27.3757,19-Aug-24
27.448,20-Aug-24
27.4817,21-Aug-24
27.5138,22-Aug-24
27.5508,23-Aug-24
27.5721,26-Aug-24
27.6341,27-Aug-24
27.61,28-Aug-24
27.6163,29-Aug-24
27.6955,30-Aug-24
27.7264,02-Sep-24
27.7534,03-Sep-24
27.7312,04-Sep-24
27.791,05-Sep-24
27.6942,06-Sep-24
27.6595,09-Sep-24
27.7295,10-Sep-24
27.6728,11-Sep-24
27.8109,12-Sep-24
27.7882,13-Sep-24
27.7901,16-Sep-24
27.8364,17-Sep-24
27.7999,18-Sep-24
27.7714,19-Sep-24
27.8818,20-Sep-24
28.0032,23-Sep-24
28.0025,24-Sep-24
27.9439,25-Sep-24
28.0087,26-Sep-24
28.0186,27-Sep-24
27.899,30-Sep-24
27.9483,01-Oct-24
27.7197,03-Oct-24
27.6509,04-Oct-24
27.4985,07-Oct-24
27.6284,08-Oct-24
27.7089,09-Oct-24
27.7104,10-Oct-24
27.7261,11-Oct-24
27.7687,14-Oct-24
27.7834,15-Oct-24
27.7211,16-Oct-24
27.6162,17-Oct-24
27.5938,18-Oct-24
27.5179,21-Oct-24
27.3301,22-Oct-24
27.3354,23-Oct-24
27.2776,24-Oct-24
27.1233,25-Oct-24
27.236,28-Oct-24
27.2613,29-Oct-24
27.3012,30-Oct-24
27.23,31-Oct-24
27.204,04-Nov-24
27.2748,05-Nov-24
27.4549,06-Nov-24
27.3958,07-Nov-24
27.3221,08-Nov-24
27.3275,11-Nov-24
27.1927,12-Nov-24
27.1028,13-Nov-24
27.0728,14-Nov-24
27.0532,18-Nov-24
27.0797,19-Nov-24
