Net Asset Value,NAV date
89.5067,21-May-24
89.864,22-May-24
90.9572,23-May-24
90.914,24-May-24
90.7877,27-May-24
90.4202,28-May-24
89.6503,29-May-24
88.9933,30-May-24
89.4481,31-May-24
92.4271,03-Jun-24
86.3042,04-Jun-24
89.1172,05-Jun-24
90.1267,06-Jun-24
91.8562,07-Jun-24
92.0097,10-Jun-24
92.1206,11-Jun-24
92.5612,12-Jun-24
93.04,13-Jun-24
93.6567,14-Jun-24
93.803,18-Jun-24
93.5849,19-Jun-24
93.8753,20-Jun-24
93.5537,21-Jun-24
93.7392,24-Jun-24
94.3814,25-Jun-24
94.643,26-Jun-24
95.1237,27-Jun-24
94.9416,28-Jun-24
95.6996,01-Jul-24
95.5824,02-Jul-24
96.3988,03-Jul-24
96.6688,04-Jul-24
96.8297,05-Jul-24
96.8647,08-Jul-24
97.3311,09-Jul-24
96.9845,10-Jul-24
97.096,11-Jul-24
97.3785,12-Jul-24
97.7671,15-Jul-24
97.4713,16-Jul-24
97.7055,18-Jul-24
96.409,19-Jul-24
96.7013,22-Jul-24
96.5445,23-Jul-24
96.7617,24-Jul-24
96.7323,25-Jul-24
98.3111,26-Jul-24
98.4839,29-Jul-24
98.6802,30-Jul-24
99.038,31-Jul-24
99.1905,01-Aug-24
98.3992,02-Aug-24
95.6995,05-Aug-24
95.1642,06-Aug-24
96.5617,07-Aug-24
95.9036,08-Aug-24
96.6915,09-Aug-24
96.4431,12-Aug-24
95.363,13-Aug-24
95.3783,14-Aug-24
96.8796,16-Aug-24
97.0611,19-Aug-24
97.6125,20-Aug-24
97.8326,21-Aug-24
97.9738,22-Aug-24
97.9385,23-Aug-24
98.6268,26-Aug-24
98.8747,27-Aug-24
98.7789,28-Aug-24
98.9127,29-Aug-24
99.3996,30-Aug-24
99.5227,02-Sep-24
99.6805,03-Sep-24
99.2067,04-Sep-24
99.3569,05-Sep-24
98.076,06-Sep-24
98.4675,09-Sep-24
99.2319,10-Sep-24
98.7724,11-Sep-24
100.2373,12-Sep-24
100.089,13-Sep-24
100.114,16-Sep-24
100.0653,17-Sep-24
99.968,18-Sep-24
99.8842,19-Sep-24
100.9598,20-Sep-24
101.6433,23-Sep-24
101.7456,24-Sep-24
102.0413,25-Sep-24
102.6658,26-Sep-24
102.7061,27-Sep-24
101.4475,30-Sep-24
101.4323,01-Oct-24
99.4889,03-Oct-24
98.7098,04-Oct-24
97.3987,07-Oct-24
98.6381,08-Oct-24
98.9923,09-Oct-24
99.2685,10-Oct-24
99.139,11-Oct-24
99.6839,14-Oct-24
99.6355,15-Oct-24
99.5525,16-Oct-24
98.6003,17-Oct-24
98.9248,18-Oct-24
98.4247,21-Oct-24
96.8263,22-Oct-24
96.7928,23-Oct-24
96.5901,24-Oct-24
95.6705,25-Oct-24
96.0172,28-Oct-24
96.8881,29-Oct-24
96.533,30-Oct-24
96.3789,31-Oct-24
95.6366,04-Nov-24
96.3891,05-Nov-24
97.5614,06-Nov-24
96.8112,07-Nov-24
96.4406,08-Nov-24
96.5738,11-Nov-24
95.3799,12-Nov-24
93.9405,13-Nov-24
93.9927,14-Nov-24
93.7894,18-Nov-24
94.0998,19-Nov-24
