Net Asset Value,NAV date
35.7308,21-May-24
35.565,22-May-24
35.7907,23-May-24
35.8133,24-May-24
35.8375,27-May-24
35.3321,28-May-24
35.359,29-May-24
34.8308,30-May-24
35.0911,31-May-24
37.2651,03-Jun-24
32.1876,04-Jun-24
32.8379,05-Jun-24
33.9971,06-Jun-24
34.594,07-Jun-24
34.619,10-Jun-24
34.9679,11-Jun-24
35.3555,12-Jun-24
35.6196,13-Jun-24
35.9942,14-Jun-24
36.2095,18-Jun-24
35.7136,19-Jun-24
35.7641,20-Jun-24
35.6635,21-Jun-24
35.5798,24-Jun-24
35.4663,25-Jun-24
35.3511,26-Jun-24
35.4686,27-Jun-24
35.7162,28-Jun-24
35.7162,30-Jun-24
35.8602,01-Jul-24
35.6625,02-Jul-24
36.0517,03-Jul-24
36.2054,04-Jul-24
36.7174,05-Jul-24
37.0524,08-Jul-24
37.1051,09-Jul-24
37.0616,10-Jul-24
37.3966,11-Jul-24
37.4185,12-Jul-24
37.9599,15-Jul-24
37.8626,16-Jul-24
37.4711,18-Jul-24
36.6173,19-Jul-24
36.9491,22-Jul-24
36.3834,23-Jul-24
36.6835,24-Jul-24
36.9673,25-Jul-24
37.5807,26-Jul-24
37.979,29-Jul-24
38.1593,30-Jul-24
38.2984,31-Jul-24
38.3023,01-Aug-24
37.7859,02-Aug-24
36.4182,05-Aug-24
36.0187,06-Aug-24
37.0398,07-Aug-24
36.6125,08-Aug-24
36.9695,09-Aug-24
36.8608,12-Aug-24
36.2812,13-Aug-24
35.9804,14-Aug-24
36.5855,16-Aug-24
36.9868,19-Aug-24
37.2353,20-Aug-24
37.231,21-Aug-24
37.2018,22-Aug-24
37.052,23-Aug-24
37.3073,26-Aug-24
37.3686,27-Aug-24
37.2944,28-Aug-24
37.2216,29-Aug-24
37.423,30-Aug-24
37.4229,31-Aug-24
37.3225,02-Sep-24
37.281,03-Sep-24
36.8683,04-Sep-24
36.7992,05-Sep-24
35.949,06-Sep-24
35.6585,09-Sep-24
35.73,10-Sep-24
35.2745,11-Sep-24
35.9436,12-Sep-24
35.8757,13-Sep-24
35.8705,16-Sep-24
35.7057,17-Sep-24
35.5657,18-Sep-24
35.0791,19-Sep-24
35.3606,20-Sep-24
36.0816,23-Sep-24
36.3175,24-Sep-24
36.4702,25-Sep-24
36.7807,26-Sep-24
37.1883,27-Sep-24
37.0484,30-Sep-24
37.0632,01-Oct-24
36.4991,03-Oct-24
36.2462,04-Oct-24
35.1658,07-Oct-24
35.544,08-Oct-24
35.7674,09-Oct-24
35.9073,10-Oct-24
36.0329,11-Oct-24
36.2012,14-Oct-24
36.1492,15-Oct-24
36.0912,16-Oct-24
35.7187,17-Oct-24
35.9824,18-Oct-24
35.5734,21-Oct-24
34.5177,22-Oct-24
34.4147,23-Oct-24
34.5007,24-Oct-24
33.8595,25-Oct-24
34.2318,28-Oct-24
34.9154,29-Oct-24
34.7791,30-Oct-24
34.697,31-Oct-24
34.5398,04-Nov-24
34.999,05-Nov-24
35.7839,06-Nov-24
35.6376,07-Nov-24
35.0972,08-Nov-24
35.2312,11-Nov-24
34.4665,12-Nov-24
33.7527,13-Nov-24
33.5667,14-Nov-24
33.5038,18-Nov-24
33.5248,19-Nov-24
